Booking ID,Date,Time,Customer ID,Vehicle Type,Pickup Location,Drop Location,Payment Method,Request Hour,Traffic Level,Weather Condition,Booking Platform
"""CNR2415257""",2024-05-18,06:30:30,"""CID6909825""",Premier Sedan,Lajpat Nagar,Rohini,UPI,6,High,Rain,App
"""CNR5503992""",2024-11-27,08:10:57,"""CID3215242""",Premier Sedan,Malviya Nagar,Nehru Place,Cash,8,High,Clear,Web
"""CNR7438691""",2024-07-13,20:13:00,"""CID6640597""",Uber XL,Tis Hazari,Noida Film City,Cash,20,Low,Rain,App
"""CNR8400555""",2024-06-06,17:48:55,"""CID7803210""",Premier Sedan,Netaji Subhash Place,Mayur Vihar,UPI,17,High,Clear,App
"""CNR1884447""",2024-07-25,14:39:37,"""CID3794502""",Premier Sedan,Cyber Hub,Narsinghpur,Uber Wallet,14,Medium,Clear,App
"""CNR4238002""",2024-02-22,19:18:56,"""CID6776646""",Premier Sedan,Sikanderpur,Karkarduma,UPI,19,High,Rain,App
"""CNR9513281""",2024-02-05,19:24:59,"""CID8578287""",Premier Sedan,Raj Nagar Extension,Paharganj,null,19,Medium,,Phone
"""CNR4249572""",2024-04-24,04:51:55,"""CID9658351""",Premier Sedan,Kashmere Gate,Gwal Pahari,Uber Wallet,4,High,Clear,Web
"""CNR3316127""",2024-12-28,03:45:50,"""CID1501533""",Premier Sedan,Mansarovar Park,IGNOU Road,UPI,3,Low,Clear,App
"""CNR5001450""",2024-09-09,21:25:37,"""CID4130652""",Uber XL,Khan Market,Tilak Nagar,Uber Wallet,21,Low,Rain,App
"""CNR4239039""",2024-10-21,06:06:08,"""CID5633622""",Premier Sedan,Ghitorni,Chhatarpur,null,6,Low,,Phone
"""CNR3942728""",2024-10-15,11:25:04,"""CID3899231""",Premier Sedan,Shastri Park,Rohini West,UPI,11,Medium,Clear,App
"""CNR4811296""",2024-01-27,13:53:18,"""CID7470261""",Premier Sedan,Pitampura,Delhi Gate,UPI,13,Medium,Rain,Web
"""CNR2290384""",2024-04-28,01:17:51,"""CID6067378""",Uber XL,Nehru Place,Rajiv Chowk,UPI,1,Medium,Clear,App
"""CNR2229358""",2024-03-07,12:34:46,"""CID7586583""",Premier Sedan,Pragati Maidan,Subhash Chowk,null,12,Medium,,Web
"""CNR7286285""",2024-01-19,21:48:21,"""CID6567281""",Premier Sedan,Yamuna Bank,Dilshad Garden,Cash,21,Medium,Rain,App
"""CNR9394835""",2024-12-23,19:00:24,"""CID3125278""",Premier Sedan,Mandi House,Sadar Bazar Gurgaon,UPI,19,Medium,Fog,App
"""CNR7534075""",03-Feb-2024,19:54,"""CID4275914"" ",Premier Sedan,Pataudi Chowk ,Greater Kailash ,Cash ,19,NA ,Storm, Web
"""CNR8081487""",2024-10-19,10:43:36,"""CID1030753""",Premier Sedan,Mehrauli,Rithala,Cash,10,Medium,Rain,App
"""CNR9154108""",2024-06-20,11:34:09,"""CID7990974""",Premier Sedan,Noida Film City,Tilak Nagar,Cash,11,High,Storm,App
"""CNR3578899""",2024-05-04,22:00:18,"""CID5661102""",Premier Sedan,Sikanderpur,Pulbangash,UPI,22,High,Rain,Phone
"""CNR2939495""",2024-07-02,11:48:21,"""CID2801589""",Premier Sedan,Inderlok,Shastri Nagar,Uber Wallet,11,Low,Rain,App
"""CNR5994760""",2024-09-15,22:33:27,"""CID8677699""",Premier Sedan,Tagore Garden,Basai Dhankot,UPI,22,Low,Clear,App
"""CNR8726920""",2024-02-05,19:48:28,"""CID1004784""",Premier Sedan,Mansarovar Park,Central Secretariat,null,19,High,,App
"""CNR8525908""",2024-05-13,19:39:38,"""CID4158986""",Premier Sedan,Jasola,Rajouri Garden,null,19,High,,App
"""CNR5804680""",2024-03-30,13:43:56,"""CID5921510""",Premier Sedan,Malviya Nagar,Sadar Bazar Gurgaon,UPI,13,Medium,Clear,Web
"""CNR3635060""",2024-07-05,10:34:23,"""CID5212455""",Uber XL,Welcome,Nawada,UPI,10,Medium,Clear,App
"""CNR4225693""",2024-08-26,03:34:22,"""CID4486029""",Premier Sedan,Noida Extension,Kalkaji,UPI,3,Medium,Clear,Web
"""CNR1872680""",2024-08-23,10:19:06,"""CID1362913""",Premier Sedan,Gurgaon Sector 56,Indirapuram,Debit Card,10,Medium,Fog,Web
"""CNR7044315""",2024-09-19,16:57:48,"""CID2521883""",Premier Sedan,Nirman Vihar,Sushant Lok,Debit Card,16,Low,Fog,App
"""CNR8024437""",2024-02-16,07:46:22,"""CID8921274""",Premier Sedan,Chhatarpur,RK Puram,null,7,Medium,,App
"""CNR6221378""",2024-02-03,23:43:15,"""CID4952284""",Uber XL,India Gate,IGI Airport,Cash,23,Low,Storm,Phone
"""CNR9154449""",2024-02-26,09:03:49,"""CID1077586""",Premier Sedan,Tilak Nagar,Qutub Minar,UPI,9,High,Clear,App
"""CNR5161112""",2024-09-24,20:53:11,"""CID1845980""",Premier Sedan,Chhatarpur,Paharganj,Credit Card,20,Medium,Storm,App
"""CNR5206507"" ",11/02/2024,12:49,"""CID9160368"" ",Uber XL, Ghaziabad,Mandi House,,  , Low,Clear , App
"""CNR6561675""",2024-08-19,14:52:54,"""CID4709340""",Premier Sedan,Badarpur,Qutub Minar,Cash,14,Medium,Clear,App
"""CNR8192504""",2024-05-30,10:07:04,"""CID2186576""",Uber XL,Subhash Chowk,Noida Extension,UPI,10,High,Storm,Phone
"""CNR7239129""",2024-03-13,10:00:31,"""CID6041120""",Premier Sedan,Nirman Vihar,Patel Chowk,UPI,10,High,Clear,Web
"""CNR9540934""",2024-11-08,17:00:33,"""CID8987509""",Premier Sedan,Lok Kalyan Marg,Preet Vihar,UPI,17,High,Clear,App
"""CNR5568712""",2024-07-24,15:21:21,"""CID1277528""",Premier Sedan,Saket,Ashok Vihar,null,15,High,,App
"""CNR4151102""",2024-06-30,11:27:31,"""CID4892044""",Premier Sedan,Khandsa,Cyber Hub,UPI,11,Medium,Clear,App
"""CNR4899122""",2024-02-15,07:55:35,"""CID7879061""",Premier Sedan,Manesar,Mansarovar Park,UPI,7,Low,Rain,App
"""CNR3125291""",2024-05-18,21:51:46,"""CID5686688""",Premier Sedan,IMT Manesar,Jor Bagh,null,21,Low,,App
"""CNR5805639""",2024-11-19,21:18:07,"""CID6316344""",Premier Sedan,Pragati Maidan,Chirag Delhi,null,21,Low,,App
"""CNR1278315""",2024-10-06,07:17:19,"""CID8911337""",Premier Sedan,Shastri Nagar,Noida Film City,null,7,High,,App
"""CNR5654141""",2024-08-20,16:44:33,"""CID9881226""",Premier Sedan,Indraprastha,Jor Bagh,Debit Card,16,Medium,Clear,App
"""CNR4456848""",2024-10-26,19:44:01,"""CID8988573""",Premier Sedan,Nirman Vihar,Pragati Maidan,null,19,Low,,App
"""CNR9625360"" ",2024-04-08,17:18:39,"""CID7198592"" ",Premier Sedan, India Gate,Ghitorni Village ,,17,,Clear,Web
"""CNR5738309""",2024-05-13,04:00:36,"""CID3264136""",Premier Sedan,Vatika Chowk,Okhla,null,4,Low,,App
"""CNR1323410""",2024-06-21,08:22:00,"""CID4463798""",Premier Sedan,Vatika Chowk,Bahadurgarh,Debit Card,8,High,Rain,App
"""CNR5828425""",2024-12-14,08:28:49,"""CID8430067""",Premier Sedan,Jahangirpuri,Kirti Nagar,UPI,8,Medium,Clear,App
"""CNR5197707""",2024-09-05,13:59:52,"""CID8536713""",Premier Sedan,Raj Nagar Extension,Seelampur,Cash,13,High,Rain,App
"""CNR9228185""",2024-02-15,20:49:04,"""CID7967244""",Premier Sedan,Sadar Bazar Gurgaon,Paschim Vihar,Cash,20,High,Rain,App
"""CNR6160275""",2024-06-18,17:07:14,"""CID5501411""",Uber XL,Ashram,Noida Sector 62,Cash,17,Medium,Clear,App
"""CNR2204332""",2024-01-08,16:54:05,"""CID8779024""",Premier Sedan,Golf Course Road,Vaishali,Cash,16,High,Storm,App
"""CNR8106259"" ",02-Oct-2024,9:22 AM,"""CID3123435""", Premier Sedan,Vidhan Sabha, Shastri Nagar,NA ,9,,Clear , Web
"""CNR5966048""",2024-08-28,08:20:00,"""CID1071287""",Uber XL,Pulbangash,Greater Noida,Uber Wallet,8,High,Rain,App
"""CNR9310811""",2024-03-22,19:14:56,"""CID9760512""",Premier Sedan,Indirapuram,Vatika Chowk,UPI,19,Medium,Rain,App
"""CNR8859781""",2024-08-29,08:29:40,"""CID5490176""",Premier Sedan,Central Secretariat,India Gate,UPI,8,Medium,Rain,App
"""CNR2961611""",2024-09-06,22:18:29,"""CID3190517""",Premier Sedan,Pragati Maidan,RK Puram,Debit Card,22,Medium,Clear,App
"""CNR8242907""",2024-06-26,07:08:32,"""CID7973188""",Premier Sedan,Model Town,Jahangirpuri,UPI,7,High,Clear,Web
"""CNR1519687""",2024-09-29,17:14:55,"""CID5319443""",Premier Sedan,Vishwavidyalaya,Tagore Garden,null,17,High,,App
"""CNR6303514"" ",10/31/2024,18:24,"""CID7192109"" ",Uber XL,Azadpur,Saket,null ,18,High,,App
"""CNR7149289""",2024-06-02,14:13:53,"""CID2607906""",Premier Sedan,New Delhi Railway Station,Rohini West,Cash,14,High,Clear,App
"""CNR5646656""",2024-12-16,21:22:34,"""CID7110646""",Premier Sedan,Pitampura,Kashmere Gate,Cash,21,Low,Clear,App
"""CNR6569520"" ",07-May-2024,10:31 AM,"""CID8847335"" ",Premier Sedan, Huda City Centre,Shahdara,NA ,22,Low ,Clear,Web
"""CNR7051731""",2024-11-19,07:28:25,"""CID4562056""",Premier Sedan,Jor Bagh,India Gate,Credit Card,7,Low,Rain,App
"""CNR2915357""",16-Nov-2024,20:55," ""CID2023665""",Premier Sedan,Manesar ,Madipur,Credit Card,20, NA,Rain ,Web
"""CNR5895057""",2024-10-19,16:56:38,"""CID2439467""",Uber XL,Ghitorni,Saidulajab,Uber Wallet,16,Low,Clear,App
"""CNR6162893""",2024-09-07,08:12:58,"""CID9150546""",Premier Sedan,Moti Nagar,Nehru Place,Debit Card,8,High,Fog,App
"""CNR9306152""",2024-11-09,16:11:43,"""CID9461842""",Premier Sedan,Dilshad Garden,Civil Lines Gurgaon,null,16,Low,,App
"""CNR6987972""",2024-09-27,03:08:38,"""CID6481982""",Premier Sedan,Samaypur Badli,Cyber Hub,UPI,3,Low,Clear,App
"""CNR4346750""",2024-09-02,14:34:44,"""CID8170921""",Premier Sedan,Gurgaon Sector 29,Indraprastha,Uber Wallet,14,High,Clear,Phone
"""CNR7297791"" ",20-Feb-2024,1:39 PM,"""CID7281986""",Premier Sedan,Saket,Model Town,null ,13,Medium,,App
"""CNR8967861""",2024-09-14,15:45:33,"""CID3540282""",Premier Sedan,Sohna Road,Nehru Place,null,15,Medium,,App
"""CNR4613739""",2024-10-11,17:27:56,"""CID9468231""",Premier Sedan,Akshardham,Nirman Vihar,Uber Wallet,17,Medium,Clear,Web
"""CNR8974635""",17-May-2024,21:51,"""CID8044093""",Premier Sedan,Madipur,Tilak Nagar,,21,,,App
"""CNR8549497""",2024-09-23,13:38:27," ""CID3887828""",Premier Sedan,Shahdara,Rajiv Nagar,null ,13,Medium, NA,App 
"""CNR6763949""",2024-05-25,14:58:13,"""CID3481963""",Premier Sedan,IGI Airport,Greater Noida,Credit Card,14,Medium,Rain,App
"""CNR4316002""",03-Feb-2024,02:11,"""CID1378252"" ",Premier Sedan,Hero Honda Chowk,Welcome,Uber Wallet ,2,Low, Clear,App
"""CNR1837756""",2024-04-22,06:39:21,"""CID1952359""",Premier Sedan,Patel Chowk,AIIMS,Cash,6,High,Rain,App
"""CNR2997075""",2024-11-08,20:51:43,"""CID4383879""",Premier Sedan,Green Park,Hauz Khas,Cash,20,Low,Rain,App
"""CNR1197334""",2024-03-30,13:24:41,"""CID4811646""",Premier Sedan,Welcome,Sarai Kale Khan,Cash,13,Medium,Fog,App
"""CNR2843953""",2024-09-29,14:56:35,"""CID1482677""",Uber XL,Shastri Park,Punjabi Bagh,null,14,Low,,App
"""CNR6582244""",2024-11-26,21:00:15,"""CID1946537""",Premier Sedan,Samaypur Badli,Maidan Garhi,UPI,21,Medium,Rain,Web
"""CNR1119582""",04/01/2024,17:08,"""CID5402994""",Premier Sedan,Azadpur ,Janakpuri, UPI,null,,Rain,App 
"""CNR4729656""",2024-06-23,06:59:49,"""CID2582691""",Premier Sedan,Tis Hazari,Botanical Garden,UPI,6,Medium,Rain,App
"""CNR2437908""",2024-05-28,16:31:47,"""CID6838450""",Premier Sedan,Arjangarh,IMT Manesar,UPI,16,Medium,Clear,Web
"""CNR6519969""",2024-05-09,14:28:27,"""CID1271357""",Premier Sedan,Huda City Centre,Jor Bagh,null,14,High,,App
"""CNR8040531""",2024-03-25,22:02:52,"""CID2273432""",Premier Sedan,Dilshad Garden,Huda City Centre,UPI,22,Low,Rain,App
"""CNR8307726""",2024-05-18,10:57:45,"""CID5691528""",Premier Sedan,Lajpat Nagar,Udyog Vihar Phase 4,null,10,Medium,,Web
"""CNR8045058""",2024-06-27,11:42:26,"""CID7712950""",Premier Sedan,New Colony,Dilshad Garden,Uber Wallet,11,Low,Fog,Phone
"""CNR5102449""",2024-03-06,19:05:10,"""CID9555252""",Premier Sedan,Ghitorni Village,DLF City Court,null,19,High,,App
"""CNR4378110""",2024-07-24,04:03:30,"""CID5808772""",Premier Sedan,Tughlakabad,Sultanpur,Uber Wallet,4,Low,Rain,App
"""CNR4054173""",2024-02-25,20:59:12,"""CID2327200""",Premier Sedan,Dwarka Mor,Paharganj,null,20,Medium,,App
"""CNR6067092""",2024-05-05,21:37:48,"""CID7593764""",Premier Sedan,Civil Lines Gurgaon,Ghitorni,Debit Card,21,Medium,Storm,Phone
"""CNR7853278""",2024-01-04,21:34:44,"""CID5735140""",Premier Sedan,Adarsh Nagar,Chhatarpur,Cash,21,Low,Clear,App
"""CNR2835469""",2024-02-28,17:33:05,"""CID5414240""",Premier Sedan,INA Market,Anand Vihar ISBT,null,17,Medium,,App
"""CNR6591899""",2024-05-27,01:53:17,"""CID7709961""",Premier Sedan,Kirti Nagar,Botanical Garden,Uber Wallet,1,Medium,Clear,App
"""CNR9848189""",2024-08-04,17:59:09,"""CID4174741""",Premier Sedan,Jhilmil,Badarpur,null,17,Low,,App
"""CNR6977914""",2024-10-03,09:11:09,"""CID9574283""",Uber XL,Barakhamba Road,Vaishali,Cash,9,Medium,Fog,App
"""CNR8364035""",2024-02-08,13:25:23,"""CID3533057""",Uber XL,Punjabi Bagh,New Colony,Uber Wallet,13,High,Fog,Phone
"""CNR8911870""",2024-02-07,18:21:36,"""CID4250474""",Premier Sedan,Pulbangash,Karol Bagh,Cash,18,Low,Rain,App
"""CNR6601381""",2024-09-25,00:30:43,"""CID5826087""",Uber XL,Raj Nagar Extension,Hero Honda Chowk,null,0,Medium,,App
"""CNR2926411""",2024-03-31,01:45:54,"""CID6427273""",Premier Sedan,Jor Bagh,New Delhi Railway Station,null,1,Low,,App
"""CNR9738358""",2024-05-19,20:38:05,"""CID6472958""",Premier Sedan,Hauz Rani,Yamuna Bank,null,20,Low,,App
"""CNR1524669""",2024-03-22,17:12:15,"""CID9328632""",Uber XL,Okhla,INA Market,null,17,High,,Web
"""CNR1599721""",2024-03-26,05:22:45,"""CID3810535""",Premier Sedan,Shastri Park,Tughlakabad,UPI,5,Low,Clear,App
"""CNR4236741""",2024-02-25,10:23:31,"""CID3176600""",Premier Sedan,Model Town,Rithala,UPI,10,Low,Clear,App
"""CNR2741467""",2024-12-16,18:06:35,"""CID5243272""",Premier Sedan,Sikanderpur,Kaushambi,null,18,High,,Web
"""CNR4976636""",2024-08-11,22:27:56,"""CID6816039""",Premier Sedan,Khandsa,Karol Bagh,UPI,22,Low,Storm,App
"""CNR8355495""",2024-02-28,09:38:15,"""CID7308464""",Premier Sedan,Anand Vihar ISBT,Ghaziabad,null,9,Medium,,App
"""CNR5250100""",2024-07-11,09:04:20,"""CID8476687""",Premier Sedan,IMT Manesar,Anand Vihar,null,9,High,,Web
"""CNR9984524""",2024-08-18,17:49:16,"""CID2343499""",Premier Sedan,Netaji Subhash Place,Noida Extension,UPI,17,Low,Fog,App
"""CNR9015216""",2024-02-14,15:04:09,"""CID5972058""",Uber XL,Vaishali,Gurgaon Sector 56,UPI,15,Medium,Clear,App
"""CNR6605057"" ",02/21/2024,19:54,"""CID7037271""",Premier  Sedan,Ambience  Mall,South Extension,UPI ,19,Medium ,Rain,Phone
"""CNR3739993""",2024-09-01,00:15:22,"""CID3569673""",Premier Sedan,Vishwavidyalaya,Rohini,UPI,0,Low,Clear,App
"""CNR9400027""",01-Oct-2024,20:46,"""CID4952223"" ",Uber XL,Old Gurgaon,Shastri Park,null,20, Medium,,App
"""CNR4544942""",2024-06-02,23:51:48,"""CID6972808""",Premier Sedan,Akshardham,RK Puram,Uber Wallet,23,Low,Clear,Web
"""CNR2887960""",2024-06-10,17:40:31,"""CID8418878""",Uber XL,Samaypur Badli,Nawada,null,17,High,,App
"""CNR4753839""",2024-02-04,15:54:23,"""CID8371169""",Uber XL,Gurgaon Railway Station,Gurgaon Sector 56,Credit Card,15,Medium,Clear,App
" ""CNR4269063""",01/16/2024,10:58,"""CID1577409""",Premier Sedan,Huda  City Centre,Greater Kailash,,10,,Clear,Phone
" ""CNR9722261""",18-Sep-2024,09:51,"""CID8492596""",Premier Sedan,Saidulajab,Azadpur,,9,Low ,,Phone
"""CNR6272144""",2024-06-20,20:01:46,"""CID1854440""",Premier Sedan,India Gate,Rohini East,null,20,Medium,,App
"""CNR5783301""",2024-01-15,15:00:28,"""CID8192626""",Premier Sedan,GTB Nagar,Barakhamba Road,UPI,15,Medium,Storm,App
"""CNR7616847""",2024-03-09,21:17:13,"""CID8572257""",Uber XL,GTB Nagar,Ramesh Nagar,null,21,Medium,,App
"""CNR1198096""",2024-02-03,05:39:17,"""CID8086845""",Uber XL,Malviya Nagar,Ghitorni Village,UPI,5,Low,Rain,App
"""CNR8307585""",2024-10-16,00:30:51,"""CID9492482""",Premier Sedan,Anand Vihar ISBT,Jama Masjid,Uber Wallet,0,Medium,Rain,App
"""CNR8054889""",11-Feb-2024,09:53," ""CID2999732""",Premier Sedan,Akshardham,Ghitorni,null,9,, NA, App
"""CNR7426325""",2024-06-15,20:58:00,"""CID2558426""",Premier Sedan,Gurgaon Sector 56,Vishwavidyalaya,Credit Card,20,High,Rain,Phone
"""CNR6182286""",2024-03-25,18:49:36,"""CID6352567""",Premier Sedan,Lajpat Nagar,Ashram,Debit Card,18,Low,Clear,Web
"""CNR4636041""",2024-01-30,20:40:19,"""CID1673362""",Premier Sedan,Nirman Vihar,Ghitorni,Credit Card,20,Low,Clear,App
"""CNR5510909""",2024-05-25,19:04:57,"""CID2429512""",Premier Sedan,Chandni Chowk,RK Puram,UPI,19,High,Clear,Phone
"""CNR6304210""",2024-01-01,18:39:09,"""CID7004065""",Uber XL,IGI Airport,Udyog Bhawan,UPI,18,High,Rain,App
"""CNR4764357""",2024-10-10,10:20:22,"""CID5332461""",Premier Sedan,Saket,Yamuna Bank,Debit Card,10,High,Rain,App
"""CNR4542629""",2024-06-06,15:16:39,"""CID3041962""",Premier Sedan,Seelampur,Delhi Gate,null,15,Medium,,Web
"""CNR4641142""",2024-01-09,18:28:06,"""CID3158671""",Premier Sedan,Ghaziabad,Saidulajab,null,18,High,,App
"""CNR6429493""",2024-08-09,14:24:32,"""CID9957540""",Uber XL,Kalkaji,Gurgaon Sector 56,null,14,Medium,,App
"""CNR2448512""",2024-08-28,18:00:39,"""CID3737693""",Premier Sedan,Bhikaji Cama Place,Qutub Minar,UPI,18,High,Rain,App
"""CNR8860563""",2024-03-20,10:44:13,"""CID4960065""",Premier Sedan,Preet Vihar,Sikanderpur,Uber Wallet,10,High,Clear,App
"""CNR2163400""",2024-09-25,10:08:22,"""CID3016035""",Premier Sedan,Rajiv Chowk,Dwarka Sector 21,Credit Card,10,High,Clear,App
"""CNR2695805""",2024-04-18,21:30:26,"""CID8486542""",Premier Sedan,Gwal Pahari,Shivaji Park,Uber Wallet,21,Low,Rain,App
"""CNR4760449""",2024-09-18,09:56:09,"""CID2823760""",Premier Sedan,Vaishali,Panipat,Uber Wallet,9,High,Clear,App
"""CNR3188026""",2024-11-14,17:24:38,"""CID9149724""",Premier Sedan,Vasant Kunj,Adarsh Nagar,UPI,17,Medium,Clear,App
"""CNR1935956""",2024-11-22,17:31:59,"""CID9140298""",Premier Sedan,Pitampura,Badarpur,Credit Card,17,Medium,Clear,App
"""CNR4613271""",2024-01-24,21:49:08,"""CID7247748""",Premier Sedan,Azadpur,Raj Nagar Extension,Credit Card,21,Low,Clear,App
"""CNR1846576""",2024-05-16,14:53:21,"""CID1498694""",Premier Sedan,Model Town,Paharganj,UPI,14,Medium,Rain,App
"""CNR8358204""",2024-08-03,09:31:39,"""CID2994001""",Premier Sedan,Barakhamba Road,Sohna Road,Uber Wallet,9,Medium,Clear,Phone
"""CNR4435906""",2024-08-12,19:50:10,"""CID5907798""",Premier Sedan,Vinobapuri,Inderlok,null,19,Medium,,Web
"""CNR3986964""",2024-10-30,20:43:12,"""CID5509253""",Premier Sedan,Jahangirpuri,Subhash Nagar,Debit Card,20,High,Storm,App
"""CNR4446975""",2024-12-05,20:43:29,"""CID6311427""",Premier Sedan,Moti Nagar,Mundka,UPI,20,Medium,Clear,App
"""CNR7359854""",2024-11-18,00:52:57,"""CID6374906""",Premier Sedan,Indraprastha,Noida Sector 18,Credit Card,0,Low,Rain,App
"""CNR4377050""",2024-01-11,08:31:17,"""CID1142441""",Premier Sedan,Hauz Rani,Arjangarh,UPI,8,High,Fog,App
"""CNR5271440""",2024-10-08,17:07:24,"""CID5739102""",Premier Sedan,Sarai Kale Khan,South Extension,null,17,Medium,,App
