Booking ID,Booking Status,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
"""CNR7239129""",Completed,4.6,24.7,null,null,null,null,null,null,369,8.8,4.3,3.7
"""CNR9540934""",Completed,9.7,36.4,null,null,null,null,null,null,306,43.4,4.4,4.9
"""CNR5568712""",Cancelled by Driver,7.2,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR4151102""",Completed,3.4,43.3,null,null,null,null,null,null,727,29.21,4.6,4.7
"""CNR4899122""",Completed,13.1,15.2,null,null,null,null,null,null,302,30.45,4.2,4.2
"""CNR3125291""",Cancelled by Driver,6.3,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR5805639""",Cancelled by Driver,7.9,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null
"""CNR1278315""",Cancelled by Driver,11.6,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR5654141""",Incomplete,7.3,22.1,null,null,null,null,1,Customer Demand,314,18.89,null,null
"""CNR4456848""",Cancelled by Driver,4.4,null,null,null,1,Customer related issue,null,null,null,null,null,null
"""CNR9625360""", Completed,3.3,19.2,null, null,null, NA,null,null,140 , 5.24,4.3,4.7
"""CNR5738309""",Cancelled by Driver,8.8,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR1323410""",Completed,4.5,34.2,null,null,null,null,null,null,298,12.52,4.4,4.6
"""CNR5828425""",Completed,8.4,37.1,null,null,null,null,null,null,413,30.16,3.1,4.3
"""CNR5197707""",Completed,9.2,24.3,null,null,null,null,null,null,432,46.99,4.2,4.6
"""CNR9228185""",Completed,6.1,23.2,null,null,null,null,null,null,212,10.89,4.4,4.7
"""CNR6160275""",Completed,8.9,19.2,null,null,null,null,null,null,630,49.26,4.1,4.0
"""CNR2204332""",Completed,6.5,32.8,null,null,null,null,null,null,263,46.6,4.6,4.3
"""CNR8106259""",Completed,20,19.8 ,null,null ,-1,null,-1,null,418,0,-4.7,4.7
"""CNR5966048""",Completed,10.6,41.9,null,null,null,null,null,null,773,48.84,3.9,4.8
"""CNR9310811""",Completed,11.0,37.5,null,null,null,null,null,null,113,21.68,4.3,3.7
"""CNR8859781""",Completed,12.2,19.5,null,null,null,null,null,null,480,18.15,4.4,4.5
"""CNR2961611""",Completed,12.7,23.0,null,null,null,null,null,null,953,18.58,3.8,4.4
"""CNR8242907""",Completed,8.8,15.9,null,null,null,null,null,null,296,18.49,4.3,4.9
"""CNR1519687""",Cancelled by Customer,20.0,null,1,Change of plans,null,null,null,null,null,null,null,null
"""CNR6303514""",Cancelled  by Driver,20,null,null,null ,1 ,More than permitted people in there , null,null,NaN,0,null,null
"""CNR7149289""",Completed,8.8,33.1,null,null,null,null,null,null,1350,24.97,4.7,3.1
"""CNR5646656""",Completed,14.3,23.9,null,null,null,null,null,null,302,32.94,4.6,4.7
"""CNR6569520""",Completed,-2.6,-36.9, null,null,null,null,-1,null,NaN,-24.12,-4.2,-4.4
"""CNR7051731""",Completed,4.6,27.3,null,null,null,null,null,null,477,14.39,4.3,3.6
"""CNR2915357""",Completed,6.3 ,19.5 ,null ,null,null,NA ,null,null ,171,32.47,4.9,3.4
"""CNR5895057""",Completed,6.5,16.8,null,null,null,null,null,null,401,22.96,3.8,4.5
"""CNR6162893""",Completed,5.2,43.9,null,null,null,null,null,null,1320,39.7,4.9,4.9
"""CNR9306152""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR6987972""",Completed,4.0,36.4,null,null,null,null,null,null,489,45.72,4.7,4.9
"""CNR4346750""",Completed,4.3,43.5,null,null,null,null,null,null,55,3.02,4.6,4.8
"""CNR7297791"" ",Cancelled by Driver, 3.9,null,null ,null ,1,NA ,null, null,null ,null ,null,null 
"""CNR8967861""",Cancelled by Customer,10.6,null,1,Driver is not moving towards pickup location,null,null,null,null,null,null,null,null
"""CNR4613739""",Completed,8.2,21.8,null,null,null,null,null,null,158,26.74,3.2,5.0
"""CNR8974635""",Cancelled by Customer ,14.1,null ,-1,Change of plans,null,,null,null,-1,null,-1,-1
" ""CNR8549497""",Completed,5.8,null,1,null ,1,More than permitted people in there,null,null ,NaN,77.35,null,null
"""CNR6763949""",Incomplete,9.5,29.2,null,null,null,null,1,Vehicle Breakdown,374,11.17,null,null
" ""CNR4316002""",Completed,10.9,37.7,-1,null,-1,,-1,null,1350,11.48 ,4.5,4.9
"""CNR1837756""",Completed,12.5,28.5,null,null,null,null,null,null,123,2.35,3.9,4.6
"""CNR2997075""",Completed,12.7,40.7,null,null,null,null,null,null,201,49.37,4.5,4.1
"""CNR1197334""",Completed,3.8,29.7,null,null,null,null,null,null,419,38.83,3.8,4.3
"""CNR2843953""",Cancelled by Driver,3.5,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR6582244""",Completed,7.7,41.0,null,null,null,null,null,null,326,36.43,3.9,3.7
" ""CNR1119582""",Completed,20,21.1,null, null,null ,null,null,null,203,0,3.8, 5.0
"""CNR4729656""",Completed,8.0,16.9,null,null,null,null,null,null,354,41.21,4.6,4.8
"""CNR2437908""",Completed,10.1,24.9,null,null,null,null,null,null,184,29.02,3.7,4.1
"""CNR6519969""",Cancelled by Driver,6.2,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR8040531""",Completed,3.5,28.0,null,null,null,null,null,null,442,38.08,4.6,4.3
"""CNR8307726""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR8045058""",Completed,3.7,34.2,null,null,null,null,null,null,805,28.75,3.4,4.2
"""CNR5102449""",Cancelled by Customer,5.2,null,1,Change of plans,null,null,null,null,null,null,null,null
"""CNR4378110""",Completed,3.6,34.2,null,null,null,null,null,null,827,9.44,3.9,5.0
"""CNR4054173""",Cancelled by Driver,7.1,null,null,null,1,Customer related issue,null,null,null,null,null,null
"""CNR6067092""",Completed,11.5,15.1,null,null,null,null,null,null,1284,33.16,3.4,4.7
"""CNR7853278""",Completed,9.0,42.6,null,null,null,null,null,null,822,43.07,4.6,4.6
"""CNR2835469""",Cancelled by Driver,11.7,null,null,null,1,Customer related issue,null,null,null,null,null,null
"""CNR6591899""",Completed,8.7,19.8,null,null,null,null,null,null,341,34.89,4.6,4.9
"""CNR9848189""",Cancelled by Customer,5.8,null,1,Driver is not moving towards pickup location,null,null,null,null,null,null,null,null
"""CNR6977914""",Completed,10.9,20.8,null,null,null,null,null,null,351,44.94,5.0,4.4
"""CNR8364035""",Completed,5.0,17.7,null,null,null,null,null,null,802,12.66,4.2,4.6
"""CNR8911870""",Completed,7.5,20.8,null,null,null,null,null,null,321,46.44,4.4,3.2
"""CNR6601381""",Cancelled by Driver,5.5,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null
"""CNR2926411""",Cancelled by Driver,9.8,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR9738358""",Cancelled by Driver,8.7,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null
"""CNR1524669""",Cancelled by Customer,7.4,null,1,Change of plans,null,null,null,null,null,null,null,null
"""CNR1599721""",Incomplete,4.0,25.6,null,null,null,null,1,Other Issue,401,5.42,null,null
"""CNR4236741""",Completed,5.4,44.3,null,null,null,null,null,null,173,2.73,5.0,4.9
"""CNR2741467""",Cancelled by Driver,10.7,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR4976636""",Completed,14.0,36.2,null,null,null,null,null,null,795,19.56,3.9,4.2
"""CNR8355495""",Cancelled by Driver,4.3,null,null,null,1,Customer related issue,null,null,null,null,null,null
"""CNR5250100""",Cancelled by Driver,7.8,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR9984524""",Completed,5.0,44.3,null,null,null,null,null,null,109,8.55,4.6,4.9
"""CNR9015216""",Completed,14.3,26.0,null,null,null,null,null,null,284,16.97,3.6,4.7
"""CNR6605057"" ",Completed,7.5,41.2,null,null,null,NA ,null,null ,325,4.01,4.9 ,4.2
"""CNR3739993""",Completed,11.4,32.6,null,null,null,null,null,null,150,11.04,4.1,5.0
"""CNR9400027""",No Driver Found,null,null,null ,null,-1,null ,-1,null,-1,54.27,null,null
"""CNR4544942""",Incomplete,3.8,25.7,null,null,null,null,1,Other Issue,138,12.87,null,null
"""CNR2887960""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR4753839""",Completed,9.8,44.4,null,null,null,null,null,null,417,49.95,4.2,4.1
"""CNR4269063""", Completed,-5.7,28.4,-1,null ,-1,null ,null, null,941,45.71,3.4,-4.2
" ""CNR9722261""",Cancelled by Customer ,19.2,null,-1,Wrong Address ,null,null, null, null,null,-1,null,null
"""CNR6272144""",Cancelled by Driver,7.7,null,null,null,1,Customer related issue,null,null,null,null,null,null
"""CNR5783301""",Completed,7.4,30.3,null,null,null,null,null,null,1280,44.62,3.0,4.3
"""CNR7616847""",Cancelled by Driver,9.5,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR1198096""",Completed,2.5,36.2,null,null,null,null,null,null,1486,19.45,4.3,4.4
"""CNR8307585""",Completed,5.6,22.5,null,null,null,null,null,null,854,2.15,4.3,4.9
"""CNR8054889""",Cancelled by Customer,20,null, 1,Driver  is not moving towards pickup location,null, NA,null,null,null,0,null,null
"""CNR7426325""",Completed,13.5,31.2,null,null,null,null,null,null,125,22.82,4.3,4.0
"""CNR6182286""",Completed,10.9,33.4,null,null,null,null,null,null,401,29.63,4.3,4.8
"""CNR4636041""",Incomplete,6.0,16.0,null,null,null,null,1,Customer Demand,408,11.22,null,null
"""CNR5510909""",Completed,13.0,27.4,null,null,null,null,null,null,777,36.7,3.8,3.5
"""CNR6304210""",Completed,7.5,33.2,null,null,null,null,null,null,616,26.14,4.8,4.6
"""CNR4764357""",Completed,14.4,25.4,null,null,null,null,null,null,304,17.22,4.6,4.2
"""CNR4542629""",Cancelled by Customer,12.6,null,1,Driver is not moving towards pickup location,null,null,null,null,null,null,null,null
"""CNR4641142""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR6429493""",Cancelled by Driver,6.3,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR2448512""",Completed,12.4,28.2,null,null,null,null,null,null,221,27.16,3.8,3.8
"""CNR8860563""",Completed,8.7,27.5,null,null,null,null,null,null,528,39.51,4.0,4.3
"""CNR2163400""",Incomplete,9.0,24.8,null,null,null,null,1,Vehicle Breakdown,849,13.31,null,null
"""CNR2695805""",Completed,8.6,41.4,null,null,null,null,null,null,324,19.13,4.5,4.6
"""CNR4760449""",Completed,11.1,30.1,null,null,null,null,null,null,821,33.72,4.2,4.9
"""CNR3188026""",Incomplete,5.1,18.6,null,null,null,null,1,Other Issue,301,17.0,null,null
"""CNR1935956""",Completed,8.4,31.6,null,null,null,null,null,null,152,26.81,4.1,4.3
"""CNR4613271""",Completed,4.7,37.8,null,null,null,null,null,null,275,48.78,3.4,4.3
"""CNR1846576""",Completed,7.6,33.5,null,null,null,null,null,null,245,48.48,4.4,4.5
"""CNR8358204""",Completed,2.4,22.0,null,null,null,null,null,null,1029,34.51,5.0,4.4
"""CNR4435906""",Cancelled by Customer,6.1,null,1,Change of plans,null,null,null,null,null,null,null,null
"""CNR3986964""",Completed,9.7,31.5,null,null,null,null,null,null,63,15.38,4.4,4.2
"""CNR4446975""",Completed,10.2,18.2,null,null,null,null,null,null,212,20.4,4.3,4.7
"""CNR7359854""",Completed,4.4,15.8,null,null,null,null,null,null,400,8.34,4.3,4.4
"""CNR4377050""",Completed,6.0,22.3,null,null,null,null,null,null,149,9.86,4.2,4.5
"""CNR5271440""",Cancelled by Driver,5.1,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR3988951""",Completed,7.6,44.2,null,null,null,null,null,null,222,24.33,4.1,4.9
"""CNR8509244""",Cancelled by Customer,7.3,null,1,Change of plans,null,null,null,null,null,null,null,null
"""CNR8403061""",Completed,12.6,27.7,null,null,null,null,null,null,375,31.28,4.1,4.3
"""CNR6078220""",Cancelled by Customer,20.0,null,1,Change of plans,null,null,null,null,null,null,null,null
"""CNR4562372""",Incomplete,5.6 ,23.2,null,null,null ,null,1,Customer Demand , 278,14.22,null,null 
"""CNR7979297""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR6285364""",Cancelled by Driver,9.5,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR7710350""",Cancelled by Driver,8.9,null,null,null,1,Customer related issue,null,null,null,null,null,null
"""CNR4783118""",Completed,10.8,24.9,null,null,null,null,null,null,1052,37.62,4.2,4.2
"""CNR2940039""",Completed,5.6,21.3,null,null,null,null,null,null,407,14.91,4.4,4.6
"""CNR7404881""",Completed,9.1,38.1,null,null,null,null,null,null,1461,44.3,4.4,5.0
"""CNR6461404""",Completed,9.4,16.5,null,null,null,null,null,null,297,30.75,3.9,4.3
"""CNR6234496""",Incomplete,7.3,24.3,null,null,null,null,1,Other Issue,849,16.34,null,null
"""CNR7500978""",Incomplete,5.7,25.0,null,null,null,null,1,Other Issue,106,13.97,null,null
"""CNR7842897""",Completed,6.0,26.0,null,null,null,null,null,null,1072,43.56,4.1,4.9
"""CNR1185434""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR5198880""",Completed,13.8,43.6,null,null,null,null,null,null,413,18.16,4.4,4.5
"""CNR8516982""",Completed,14.1,17.2,null,null,null,null,null,null,865,33.96,3.6,4.6
"""CNR6821815""",Completed,13.4,26.6,null,null,null,null,null,null,489,24.79,4.1,4.8
"""CNR6964686""",Incomplete,7.5,25.1,null,null,null,null,1,Other Issue,241,3.54,null,null
"""CNR8731068""",Cancelled by Driver,10.7,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR5612431"" ",Completed,3.7,31.9 ,null,null ,null, NA,null,null,332 ,48.7,3.3,5.0
"""CNR3566105""",Cancelled by Driver,8.2,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null
"""CNR6381345""",Cancelled by Driver,8.4,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR4665242""",Completed,14.9,26.3,null,null,null,null,null,null,160,22.56,4.5,4.0
"""CNR2045650""", Incomplete,4.9, 19.0,null,null ,null,, 1,Customer Demand, 379,56.57,null,null
"""CNR3956062""",Completed,6.7,44.3,null,null,null,null,null,null,476,36.49,4.5,4.9
"""CNR9263685""",Cancelled by Driver,9.5,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR9554863""",Completed,12.3,21.3,null,null,null,null,null,null,847,23.27,3.1,3.6
"""CNR2116759""",Cancelled by Customer,15.4,null,1,Driver asked to cancel,null,null,null,null,null,null,null,null
"""CNR8149775""",Completed,10.7,31.0,null,null,null,null,null,null,158,16.82,4.2,3.7
"""CNR3207142""",Completed,8.3,26.3,null,null,null,null,null,null,591,14.68,4.1,4.6
"""CNR9375758""",Completed,8.8,28.5,null,null,null,null,null,null,707,3.49,3.3,4.3
"""CNR1093918""",Completed,6.8,28.2,null,null,null,null,null,null,406,46.35,3.7,3.7
"""CNR6186104""",Completed,2.4,20.8,null,null,null,null,null,null,588,26.93,4.6,3.4
"""CNR9916048""",Cancelled by Driver,10.4,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR8146764""",Completed,10.2,39.1,null,null,null,null,null,null,470,31.28,4.4,4.8
"""CNR8089585""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR8878103""",Cancelled by Driver,4.4,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR4470342""",Cancelled by Driver,5.3,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR5261175""",Cancelled by Driver,7.5,null,null,null,1,Customer related issue,null,null,null,null,null,null
"""CNR7207624""",Completed,9.0,23.6,null,null,null,null,null,null,177,33.86,4.3,5.0
"""CNR4393976""",Completed,13.9,15.8,null,null,null,null,null,null,372,13.97,4.3,4.9
"""CNR9421427""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR5536038""",Completed,8.7,15.1,null,null,null,null,null,null,806,28.31,4.0,5.0
"""CNR2879377""",Cancelled by Driver,8.5,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null
"""CNR2390897""",Completed,6.7,35.6,null,null,null,null,null,null,58,31.61,4.6,4.9
"""CNR1198497""",Completed,10.7,16.0,null,null,null,null,null,null,479,39.77,4.4,4.7
"""CNR8440336""",Completed,8.4,38.6,null,null,null,null,null,null,58,40.49,4.5,4.0
"""CNR3228773""",Completed,12.9,43.4,null,null,null,null,null,null,223,30.02,4.2,4.8
"""CNR7191740""",Completed,9.5,18.8,null,null,null,null,null,null,826,3.96,4.7,4.6
"""CNR9543091""",Cancelled by Driver,11.2,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR7908645"" ",Cancelled  by Driver,6.5 ,null, null,null ,1,NA ,null,null,NaN,null ,null,null
"""CNR8052816""",Completed,4.8,21.6,null,null,null,null,null,null,793,22.98,4.8,4.3
"""CNR1157699""",Incomplete,7.7,28.6,null,null,null,null,1,Vehicle Breakdown,144,9.6,null,null
"""CNR3645451""",Completed,8.1,20.6,null,null,null,null,null,null,147,19.95,4.4,4.9
"""CNR2568216""",Completed,8.6,41.0,null,null,null,null,null,null,1080,9.1,3.9,3.8
"""CNR3168109""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR5806895""",Completed,6.5,36.4,null,null,null,null,null,null,223,46.38,4.2,3.7
"""CNR7169188""",Completed,6.2,15.2,null,null,null,null,null,null,528,14.08,4.7,4.6
"""CNR9679627""",Cancelled by Customer,14.4,null,1,Wrong Address,null,null,null,null,null,null,null,null
"""CNR1894182""",Cancelled by Driver,10.3,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR3579050""",Completed,8.2,35.6,null,null,null,null,null,null,92,46.02,4.6,4.4
"""CNR7744482""",Cancelled by Driver,7.3,null,null, null,1,More than permitted people in there,null ,null,null,140.13,null, null
"""CNR8115088""",Cancelled by Customer,15.0,null,1,Wrong Address,null,null,null,null,null,null,null,null
"""CNR9739647""",Completed,10.6, 25.1,null ,null,null, NA,null, null,506,5.29 ,4.3 ,4.9
"""CNR2062740""",Cancelled by Driver,9.8,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR9484822""",Completed,6.6,27.4,null,null,null,null,null,null,1313,45.48,4.3,4.9
"""CNR4119653""",Incomplete,2.0,19.0,null,null,null,null,1,Vehicle Breakdown,379,6.26,null,null
"""CNR5203422""",Completed,2.1,39.2,null,null,null,null,null,null,129,27.76,3.7,4.3
"""CNR8836325""",Completed,6.7,32.7,null,null,null,null,null,null,991,6.77,4.2,4.6
"""CNR3321185""",Completed,3.5,17.4,null,null,null,null,null,null,926,14.14,4.2,4.3
"""CNR3981936""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR3901813""",Cancelled by Customer,10.9,null,1,Change of plans,null,null,null,null,null,null,null,null
"""CNR7956192""",Completed,12.3,36.2,null,null,null,null,null,null,640,22.33,4.6,4.2
" ""CNR8846140""",Completed,20,36.7,-1,null,null, NA,-1,null ,NaN,0,-4.2,4.2
"""CNR4511531""",Completed,15.0,37.0,null,null,null,null,null,null,450,24.32,4.1,4.2
"""CNR3803207""",Completed,13.3,18.9,null,null,null,null,null,null,318,5.42,4.5,3.9
"""CNR6531067""",Cancelled by Customer,10.4, null,1,AC is not working,null,,null ,null,0.02,null ,null,null
"""CNR6864637""",Cancelled by Customer,16.0,null,1,Wrong Address,null,null,null,null,null,null,null,null
"""CNR4872291""",Cancelled by Driver,7.0,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
